Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.3B23A33B3E,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/5/2015,5/5/2015,5/5/2015,11
384.3B23A33C67,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/6/2015,5/6/2015,5/6/2015,12
384.3B23A33D01,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/12/2015,5/12/2015,5/12/2015,17
384.3B23A33D66,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,5/27/2015,5/27/2015,5/27/2015,15
384.3B23A33F38,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/6/2015,6/6/2015,6/6/2015,18
384.3B23A33F56,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,7/2/2015,7/2/2015,7/2/2015,42
384.3B23A34017,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/8/2015,5/8/2015,5/8/2015,12
384.3B23A3401E,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/11/2013,9/23/2015,9/23/2015,3/16/2016,43
384.3B23A3420B,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/14/2015,5/14/2015,5/15/2015,19
384.3B23A3420B,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/15/2015,5/14/2015,5/15/2015,19
384.3B23A3436F,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/25/2015,5/25/2015,5/26/2015,18
384.3B23A3436F,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/26/2015,5/25/2015,5/26/2015,18
384.3B23A3437D,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,7/25/2015,7/25/2015,7/25/2015,11
384.3B23A34397,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/30/2015,4/30/2015,4/30/2015,16
384.3B23A34553,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/9/2015,5/9/2015,5/9/2015,17
384.3B23A3468F,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/25/2013,9/22/2015,9/22/2015,3/19/2016,70
384.3B23A347BD,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,5/23/2015,5/23/2015,5/23/2015,16
384.3B23A3493E,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/5/2015,5/5/2015,5/5/2015,16
384.3B23A34CE5,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/16/2015,5/16/2015,5/16/2015,13
384.3B23A34DCD,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/24/2015,6/24/2015,6/26/2015,32
